iata	airport	osm	terminal	km_from_published_point	latitude	longitude
AAA	Anaa Airport	way/431688928	Anaa Airport	0.37	-17.3559	-145.51
AAC	El Arish International Airport	way/251575733	El Arish International Airport Terminal	2.72	31.0786	33.8368
AAE	Annaba Rabah Bitat Airport	way/341055053	(unnamed)	0.63	36.8214	7.8113
AAL	Aalborg Airport	way/220302291	(unnamed)	1.57	57.0867	9.8713
AAN	Al Ain International Airport	way/201660823	(unnamed)	0.73	24.2604	55.6163
AAP	Aji Pangeran Tumenggung Pranoto International Airport	relation/16790539	(unnamed)	0.88	-0.371	117.2572
AAR	Aarhus Airport	relation/2152501	(unnamed)	0.77	56.3077	10.6279
AAT	Altay Xuedu Airport	way/553805907	(unnamed)	0.26	47.752	88.0872
AAX	Romeu Zema Airport	way/318743954	(unnamed)	0.62	-19.5607	-46.9657
AAY	Al Ghaydah International Airport	way/287415615	(unnamed)	0.30	16.1958	52.1731
AAZ	Quezaltenango Airport	way/258388324	Aeropuerto Internacional de Occidente	0.72	14.8611	-91.5068
ABA	Abakan International Airport	way/87971996	Абакан, МВПП «Абакан»	1.59	53.7513	91.3998
ABB	Asaba International Airport	way/495687558	Asaba International Airport	0.72	6.2092	6.6612
ABD	Abadan Ayatollah Jami International Airport	relation/2887013	(unnamed)	0.52	30.364	48.227
ABE	Lehigh Valley International Airport	way/8085980	(unnamed)	0.65	40.6526	-75.4352
ABJ	Félix-Houphouët-Boigny International Airport	way/186905401	Ancien Aérogare Domestique	0.90	5.2555	-3.9319
ABK	Kebri Dahar Airport	way/1001046973	(unnamed)	0.50	6.7293	44.2445
ABQ	Albuquerque International Sunport	way/44159883	Albuquerque International Sunport	1.16	35.0484	-106.6165
ABR	Aberdeen Regional Airport	way/251277302	Aberdeen Regional Airport Terminal	0.50	45.453	-98.4185
ABS	Abu Simbel Airport	way/251566939	(unnamed)	0.93	22.3677	31.61
ABT	King Saud Bin Abdulaziz (Al Baha) Airport	way/158305523	(unnamed)	0.62	20.2943	41.64
ABU	AA Bere Tallo (Haliwen) Airport	way/542037450	(unnamed)	0.48	-9.076	124.9075
