iata	airportMunicipality	matchedPlace	geonameId	country	population	kmFromAirport	matchedName	matchedVia
AAC	El Arish	Arīsh	361546	EG	199243	8.9	displayed city	alternate
AAE	Annaba	Annaba	2506999	DZ	342703	9.1	displayed city	name
AAL	Aalborg	Aalborg	2624886	DK	142937	6.7	displayed city	name
AAN	Al Ain	Al Ain City	292913	AE	846747	17.2	displayed city	alternate
AAP	Samarinda	Samarinda	1629001	ID	865306	17.4	displayed city	name
AAR	Aarhus	Århus	2624652	DK	285273	30.0	displayed city	alternate
AAT	Altay	Jinshanlu	1529651	CN	190064	11.7	displayed city	alternate
AAX	Araxá	Araxá	3471691	BR	118786	3.9	displayed city	name
AAY	Al Ghaydah	Al Ghayz̧ah	79700	YE	10948	1.6	displayed city	alternate
AAZ	Quezaltenango	Quetzaltenango	3590979	GT	180706	3.3	displayed city	alternate
ABA	Abakan	Abakan	1512236	RU	184168	3.8	displayed city	name
ABB	Asaba	Asaba	2349276	NG	73374	7.4	displayed city	name
ABD	Abadan	Abadan	145459	IR	231476	7.8	displayed city	name
ABI	Abilene	Abilene	4669635	US	125182	6.4	displayed city	name
ABJ	Abidjan	Abidjan	2293538	CI	6321017	13.3	displayed city	name
ABK	Kebri Dahar	Kebri Dahar	333516	ET	45900	4.1	displayed city	name
ABM	Bamaga	Bamaga	2177023	AU	1237	9.4	displayed city	name
ABQ	Albuquerque	Albuquerque	5454711	US	564559	6.3	displayed city	name
ABR	Aberdeen	Aberdeen	5225857	US	28102	5.3	displayed city	name
ABS	Abu Simbel	Abu Simbel	362041	EG	5000	3.4	displayed city	name
ABU	Atambua	Atambua	1651103	ID	82196	3.7	displayed city	name
ABV	Abuja	Abuja	2352778	NG	2690000	26.1	displayed city	name
ABX	East Albury	East Albury	10116056	AU	5942	3.1	displayed city	name
ABY	Albany	Albany	4179320	US	74843	6.4	displayed city	name
ABZ	Aberdeen	Aberdeen	2657832	GB	198590	8.8	displayed city	name
ACA	Acapulco	Acapulco de Juárez	3533462	MX	658609	19.5	displayed city	alternate
ACC	Accra	Accra	2306104	GH	1963264	6.4	displayed city	name
ACE	San Bartolomé	San Bartolomé	2511447	ES	18517	6.2	displayed city	name
ACF	Aral	Ālā'ĕr	1529641	CN	126259	11.9	displayed city	alternate
ACH	St. Gallen	Sankt Gallen	2658822	CH	75833	15.5	displayed city	alternate
ACI	Saint Anne	St Anne	3042289	GG	0	1.2	displayed city	alternate
ACK	Nantucket	Nantucket	4944903	US	7446	4.7	displayed city	name
ACT	Waco	Waco	4739526	US	132356	10.5	displayed city	name
ACX	Xingyi	Xingyi	1807566	CN	322890	5.7	displayed city	name
ACY	Atlantic City	Atlantic City	4500546	US	39260	16.8	displayed city	name
ADB	Gaziemir	Gaziemir	314826	TR	0	4.3	displayed city	name
ADD	Addis Ababa	Addis Ababa	344979	ET	3860000	7.8	displayed city	name
ADE	Aden	Aden	415189	YE	1079670	5.6	displayed city	name
ADF	Adıyaman	Adıyaman	325330	TR	290883	17.3	displayed city	name
ADJ	Amman	Amman	250441	JO	1275857	4.8	displayed city	name
ADL	Adelaide	Adelaide	2078025	AU	1469163	6.3	displayed city	name
ADQ	Kodiak	Kodiak	5866583	US	6253	6.8	displayed city	name
ADU	Ardabil	Ardabīl	143083	IR	410753	14.2	displayed city	name
ADZ	San Andrés	San Andrés	3670218	CO	58257	1.4	displayed city	name
AEB	Baise (Tianyang)	Baise	1816269	CN	686078	38.8	displayed city	name
AEP	Buenos Aires	Buenos Aires	3435910	AR	2891082	6.9	displayed city	name
AER	Sochi	Sochi	491422	RU	327608	24.8	displayed city	name
AES	Ålesund	Ålesund	3163392	NO	52626	10.1	displayed city	name
AEX	Alexandria	Alexandria	4314550	US	47889	9.8	displayed city	name
AEY	Akureyri	Akureyri	2633274	IS	19219	3.1	displayed city	name
AFA	San Rafael	San Rafael	3836669	AR	118009	7.2	displayed city	name
AFL	Alta Floresta	Alta Floresta	6316343	BR	0	2.4	displayed city	name
AFZ	Sabzevar	Sabzevar	118063	IR	243700	9.2	displayed city	name
AGA	Agadir (Temsia)	Agadir	2561668	MA	698310	20.9	displayed city	name
AGE	Wangerooge	Nordseeheilbad Wangerooge	2814266	DE	1081	1.5	displayed city	alternate
AGH	Ängelholm	Ängelholm	2725901	SE	23240	6.0	displayed city	name
AGI	Wageningen	Wageningen	3382783	SR	2937	9.1	displayed city	name
AGM	Tasiilaq	Tasiilaq	3424607	GL	1985	0.9	displayed city	name
AGP	Málaga	Málaga	2514256	ES	592346	8.6	displayed city	name
AGR	Agra	Agra	1279259	IN	1430055	6.2	displayed city	name
AGS	Augusta	Augusta	4180531	US	43459	11.3	displayed city	name
AGT	Ciudad del Este	Ciudad del Este	3439101	PY	301815	19.6	displayed city	name
AGU	Aguascalientes	Aguascalientes	4019233	MX	722250	20.7	displayed city	name
AGX	Agatti	Agatti	12382221	IN	7700	1.4	displayed city	name
AHA	Ambikapur	Ambikāpur	1278827	IN	121071	14.6	displayed city	name
AHB	Abha	Abha	110690	SA	210886	16.2	displayed city	name
AHO	Alghero	Alghero	3183284	IT	34261	8.4	displayed city	name
AHU	Al Hoceima	Al Hoceïma	2558545	MA	395644	12.1	displayed city	name
AIA	Alliance	Alliance	5693164	US	8522	7.8	displayed city	name
AIP	Adampur	Adampur	1462733	IN	20922	4.2	displayed city	name
AJA	Ajaccio	Ajaccio	3038334	FR	54364	5.4	displayed city	name
AJI	Ağrı	Ağrı	309647	TR	124483	6.7	displayed city	name
AJL	Aizawl (Lengpui)	Aizawl	1279186	IN	293416	15.9	displayed city	name
AJN	Ouani	Ouani	921721	KM	10073	0.7	displayed city	name
AJR	Arvidsjaur	Arvidsjaur	2725136	SE	4655	5.3	displayed city	name
AJU	Aracaju	Aracaju	3471872	BR	664908	8.1	displayed city	name
AKA	Ankang (Hanbin)	Ankang	1789065	CN	870126	15.9	displayed city	name
AKJ	Higashikagura	Higashikagura	13132769	JP	10127	2.9	displayed city	name
AKL	Auckland	Auckland	2193733	NZ	1547200	18.3	displayed city	name
AKR	Akure	Akure	2350841	NG	730000	11.9	displayed city	name
AKS	Auki	Auki	2109701	SB	7020	7.5	displayed city	name
AKU	Aksu (Onsu)	Aqsu	1529660	CN	535657	8.8	displayed city	alternate
AKX	Aktobe	Aktobe	610611	KZ	500757	3.5	displayed city	name
AKY	Sittwe	Sittwe	1295765	MM	177743	3.2	displayed city	name
ALA	Almaty	Almaty	1526384	KZ	1977011	15.5	displayed city	name
ALB	Albany	Albany	5106834	US	101228	11.3	displayed city	name
ALC	Alicante	Alicante	2521978	ES	348901	9.7	displayed city	name
ALF	Alta	Alta	847633	NO	15094	3.9	displayed city	name
ALG	Algiers	Algiers	2507480	DZ	2364230	12.1	displayed city	name
ALH	Albany	Albany	2077963	AU	35053	11.5	displayed city	name
ALO	Waterloo	Waterloo	4880889	US	68460	8.6	displayed city	name
ALP	Aleppo	Aleppo	170063	SY	2098210	6.3	displayed city	name
ALS	Alamosa	Alamosa	5411479	US	9819	3.9	displayed city	name
ALW	Walla Walla	Walla Walla	5814916	US	32237	5.4	displayed city	name
AMA	Amarillo	Amarillo	5516233	US	198645	11.4	displayed city	name
AMD	Ahmedabad	Ahmedabad	1279233	IN	6357693	7.5	displayed city	name
AMH	Arba Minch	Arba Minch	343663	ET	201000	4.5	displayed city	name
AMM	Amman	Amman	250441	JO	1275857	26.3	displayed city	name
AMQ	Ambon	Ambon	1651531	ID	347288	10.6	displayed city	name
AMS	Amsterdam	Amsterdam	2759794	NL	741636	11.2	displayed city	name
ANC	Anchorage	Anchorage	5879400	US	289600	6.6	displayed city	name
ANF	Antofagasta	Antofagasta	3899539	CL	401096	23.4	displayed city	name
ANR	Antwerp	Antwerp	2803138	BE	529247	5.5	displayed city	name
ANS	Andahuaylas	Andahuaylas	3947740	PE	17444	6.9	displayed city	name
ANX	Andenes	Andenes	3163146	NO	2694	2.3	displayed city	name
AOE	Eskişehir	Eskişehir	315202	TR	921630	3.9	displayed city	name
AOG	Anshan	Anshan	2038632	CN	3325372	11.6	displayed city	name
AOI	Falconara Marittima (AN)	Falconara Marittima	3177250	IT	25948	3.2	displayed city	name
AOJ	Aomori	Aomori	2130658	JP	298394	9.9	displayed city	name
AOO	Altoona	Altoona	5178195	US	45344	25.5	displayed city	name
APL	Nampula	Nampula	1033356	MZ	770379	2.0	displayed city	name
APN	Alpena	Alpena	4984075	US	10175	10.2	displayed city	name
APO	Carepa	Carepa	3792375	CO	20627	9.2	displayed city	name
APW	Apia	Apia	4035413	WS	40407	26.1	displayed city	name
AQA	Araraquara	Araraquara	3471766	BR	168468	4.8	displayed city	name
AQG	Anqing	Anqing	1817993	CN	804493	7.6	displayed city	name
AQI	Qaisumah	Qaisumah	108918	SA	20685	2.7	displayed city	name
AQJ	Aqaba	Aqaba	250774	JO	95048	9.5	displayed city	name
AQP	Arequipa	Arequipa	3947322	PE	1195700	7.3	displayed city	name
ARH	Archangelsk	Arkhangel’sk	581049	RU	349742	9.9	displayed city	alternate
ARI	Arica	Arica	3899361	CL	241653	14.7	displayed city	name
ARK	Arusha	Arusha	161325	TZ	617631	5.6	displayed city	name
ARM	Armidale	Armidale	2177671	AU	21312	5.5	displayed city	name
ARN	Stockholm	Stockholm	2673730	SE	1515017	36.4	displayed city	name
ART	Watertown	Watertown	5143396	US	26780	9.1	displayed city	name
ARU	Araçatuba	Araçatuba	3471859	BR	208415	7.5	displayed city	name
