ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
0	15957	429	39133532	600.00	area	-180.000	-85.155	180.000	-63.215
1	66476	1012	25730509	600.00	area	-168.081	-53.810	-34.797	72.002
2	1566	47	559233	600.00	area	43.225	-25.584	50.483	-11.944
3	9462	219	6773959	600.00	area	113.298	-39.136	153.606	-10.745
4	81512	1438	52177940	600.00	area	-17.536	-34.809	180.000	77.706
5	2388	54	267548	600.00	area	46.701	36.583	54.716	47.121
6	894	32	125960	600.00	area	105.454	-8.776	114.597	-5.881
7	108	8	3990	332.54	area	-51.954	-1.450	-51.152	-0.519
8	3613	90	783181	600.00	area	130.960	-10.701	150.693	-0.360
9	556	12	39021	600.00	area	-50.804	-1.817	-48.427	-0.106
10	1792	52	170994	600.00	area	118.772	-5.656	125.249	1.733
11	1443	49	430281	600.00	area	95.199	-5.921	106.073	5.650
12	2359	63	734734	600.00	area	108.855	-4.171	119.267	7.027
13	1069	35	93906	600.00	area	121.937	5.574	126.610	9.681
14	1494	37	101858	600.00	area	119.771	12.557	124.095	18.643
15	976	18	30288	600.00	area	129.564	31.003	132.025	33.966
16	2479	62	174830	600.00	area	130.862	33.551	142.069	41.547
17	626	29	50316	600.00	area	139.787	41.401	145.362	45.510
18	3164	43	56306	600.00	area	-59.399	46.618	-52.617	51.624
19	1032	27	35414	600.00	area	141.661	45.903	144.283	54.421
20	2254	21	30923	600.00	area	-10.461	51.446	-5.537	55.386
21	236	11	825	68.78	airport	-131.820	55.186	-130.969	55.965
22	3707	57	76909	600.00	area	-5.852	49.959	1.771	58.640
23	3063	33	22055	600.00	area	-24.540	63.397	-13.610	66.537
24	1311	25	36580	600.00	area	-180.000	64.331	-170.136	68.982
25	2208	42	171894	600.00	area	-119.051	68.548	-100.872	73.385
26	965	14	30641	600.00	area	51.401	70.565	57.639	73.425
27	10888	109	270618	600.00	area	-90.105	61.858	-61.301	73.812
28	557	16	76595	600.00	area	-125.790	71.085	-115.321	74.556
29	1142	16	69682	600.00	area	53.631	73.252	68.938	76.967
30	15548	179	2941199	600.00	area	-72.895	60.003	-11.396	83.634
31	935	25	70393	600.00	area	-74.489	17.605	-68.356	19.938
32	334	6	2448	204.01	airport	-73.988	40.569	-72.109	41.001
33	1160	16	34363	600.00	area	-102.614	71.272	-96.304	73.861
34	886	13	25942	600.00	area	-102.633	75.014	-97.378	76.637
35	1193	21	65414	600.00	area	-117.510	74.396	-105.390	76.864
36	1569	23	85028	600.00	area	-96.802	74.458	-79.395	76.987
37	1220	15	118738	600.00	area	-96.711	78.182	-84.919	81.162
38	3839	48	611613	600.00	area	-91.949	76.164	-61.312	83.117
39	288	8	2683	223.55	airport	22.856	37.972	24.372	39.042
40	155	7	1183	98.59	airport	25.835	38.967	26.597	39.383
41	207	8	5619	468.28	area	-54.993	69.235	-51.998	70.313
42	54	5	6741	561.76	area	-47.698	82.098	-44.422	82.679
43	1017	15	43111	600.00	area	144.606	-43.640	148.331	-40.705
44	134	12	1324	110.36	airport	-164.958	54.423	-163.369	55.057
45	507	13	35927	600.00	area	137.433	74.658	145.381	76.219
46	1499	21	92430	600.00	area	10.708	76.567	21.522	80.067
47	427	7	38522	600.00	area	93.280	78.822	100.022	80.175
48	703	9	41815	600.00	area	18.194	79.189	27.150	80.423
49	280	7	30308	600.00	area	91.532	79.998	97.944	81.289
50	232	9	6916	576.30	area	124.329	10.152	125.229	11.557
51	350	8	12369	600.00	area	124.276	11.092	125.566	12.578
52	168	6	3479	289.89	area	-24.485	72.121	-21.962	72.840
53	249	12	122929	600.00	area	-54.162	-80.877	-42.972	-77.817
54	577	19	1226	102.13	airport	-70.031	-55.716	-67.980	-54.940
55	105	12	769	64.10	airport	-68.345	-55.307	-67.062	-54.905
56	1166	22	16448	600.00	area	-71.725	-55.051	-65.156	-52.451
57	367	9	5350	445.81	area	-74.401	-43.393	-73.396	-41.799
58	1779	35	98370	600.00	area	-84.521	19.856	-74.214	23.194
59	82	7	4229	352.44	area	-180.000	70.908	-177.443	71.541
60	1739	29	94612	600.00	area	166.490	-46.602	174.292	-40.510
61	1848	36	83427	600.00	area	172.674	-41.610	178.564	-34.398
62	24	6	121	10.06	airport	128.104	-8.282	128.238	-8.209
63	15	6	114	9.50	airport	127.604	-8.238	127.769	-8.155
64	29	7	204	17.03	airport	-48.462	-1.217	-48.297	-1.076
65	37	6	394	32.81	airport	-51.376	-0.461	-51.149	-0.140
66	28	8	134	11.15	airport	119.716	32.082	119.901	32.292
67	16	7	58	4.80	airport	-64.005	10.736	-63.904	10.809
68	26	6	120	10.02	airport	-87.241	30.326	-86.562	30.416
69	33	8	52	4.32	airport	26.848	35.353	27.012	35.438
70	20	7	59	4.93	airport	-28.062	39.019	-27.942	39.105
71	37	14	17	1.41	airport	-7.408	57.405	-7.202	57.490
72	46	12	57	4.72	airport	-52.418	68.566	-51.807	68.647
73	72	10	114	9.49	airport	-56.117	73.403	-55.473	73.578
74	49	7	188	15.68	airport	119.606	-8.802	119.789	-8.621
75	23	6	111	9.24	airport	108.794	-7.773	109.043	-7.679
76	30	8	241	20.09	airport	117.218	3.456	117.506	3.593
77	15	7	91	7.55	airport	115.159	5.252	115.260	5.387
78	26	6	54	4.54	airport	126.698	26.305	126.810	26.391
79	9	7	40	3.35	airport	139.487	34.036	139.575	34.113
80	32	7	178	14.80	airport	152.554	-10.708	152.872	-10.619
81	18	7	94	7.80	airport	63.335	-19.767	63.494	-19.670
82	15	6	49	4.12	airport	163.638	-19.788	163.696	-19.646
83	28	9	59	4.92	airport	177.430	-16.834	177.594	-16.700
84	13	5	53	4.40	airport	121.025	10.820	121.093	10.910
85	27	6	83	6.93	airport	53.903	26.488	54.037	26.565
86	23	6	51	4.26	airport	146.570	-18.770	146.683	-18.682
87	19	6	89	7.39	airport	123.727	9.554	123.868	9.642
88	44	7	42	3.46	airport	26.773	37.105	26.887	37.200
89	40	11	38	3.17	airport	-55.983	53.394	-55.745	53.498
90	37	5	154	12.86	airport	-109.441	-27.201	-109.220	-27.062
91	46	9	267	22.29	airport	-39.046	-13.658	-38.893	-13.389
92	26	8	221	18.40	airport	122.883	-8.586	123.164	-8.426
93	31	5	355	29.62	airport	117.486	-8.364	117.664	-8.148
94	47	6	566	47.13	airport	-89.630	-0.929	-89.257	-0.682
95	36	6	228	18.98	airport	125.674	6.894	125.782	7.192
96	44	8	455	37.95	airport	-69.161	12.043	-68.745	12.392
97	26	6	167	13.89	airport	-70.058	12.418	-69.880	12.632
98	35	7	125	10.38	airport	-71.851	21.746	-71.645	21.856
99	55	8	91	7.61	airport	-72.337	21.749	-72.124	21.862
100	65	10	265	22.11	airport	-73.156	22.288	-72.755	22.460
101	60	6	138	11.54	airport	-111.230	25.824	-111.056	26.072
102	19	9	34	2.86	airport	-74.017	40.699	-73.917	40.878
103	64	11	119	9.95	airport	-56.396	46.784	-56.236	47.114
104	60	9	181	15.09	airport	-128.248	51.747	-127.953	52.066
105	73	10	330	27.51	airport	-127.888	51.953	-127.207	52.426
106	103	15	168	14.03	airport	-130.724	53.846	-130.232	54.081
107	71	14	105	8.73	airport	-131.625	54.995	-131.346	55.274
108	31	10	18	1.47	airport	-133.340	55.776	-133.217	55.907
109	60	12	117	9.74	airport	-133.795	55.903	-133.285	56.160
110	116	14	250	20.82	airport	-132.705	55.915	-132.092	56.350
111	32	10	125	10.41	airport	-133.055	56.236	-132.613	56.462
112	56	12	146	12.13	airport	-132.362	56.119	-131.928	56.495
113	66	11	134	11.16	airport	-132.963	56.497	-132.533	56.826
114	50	15	106	8.82	airport	-135.855	56.990	-135.546	57.329
115	28	20	6	0.51	airport	-148.141	60.004	-147.881	60.157
116	108	12	211	17.62	airport	13.479	68.071	14.159	68.337
117	46	6	287	23.91	airport	-60.848	11.143	-60.523	11.344
118	44	6	308	25.66	airport	-61.750	12.036	-61.603	12.236
119	45	6	265	22.05	airport	-68.417	12.028	-68.190	12.310
120	35	6	435	36.24	airport	-59.654	13.057	-59.430	13.345
121	24	7	322	26.87	airport	-61.271	13.133	-61.138	13.374
122	50	7	590	49.21	airport	-61.078	13.722	-60.892	14.102
123	26	6	147	12.28	airport	-61.332	15.878	-61.198	16.009
124	33	8	144	12.02	airport	-86.601	16.269	-86.182	16.429
125	63	5	271	22.55	airport	-61.894	17.008	-61.672	17.165
126	28	7	168	14.01	airport	-62.861	17.225	-62.625	17.416
127	45	5	162	13.51	airport	-61.873	17.554	-61.736	17.711
128	26	7	204	17.00	airport	-64.876	17.689	-64.559	17.793
129	29	6	144	11.99	airport	-65.565	18.094	-65.310	18.169
130	41	7	105	8.74	airport	-87.966	17.914	-87.857	18.170
131	36	9	126	10.52	airport	-91.823	18.654	-91.532	18.793
132	58	9	211	17.56	airport	-81.398	19.266	-81.087	19.389
